epoch,train_loss,train_acc,val_loss,val_acc
1,2.1180244246057907,0.2402464065708419,1.770843323645661,0.3859223300970874
2,1.4096549834742438,0.4830595482546201,1.0876167780059633,0.5728155339805825
3,0.9498487568213709,0.6211498973305954,0.7018191135099646,0.7014563106796117
4,0.6569740267516376,0.7453798767967146,0.6539358929753557,0.7354368932038835
5,0.4848913419360651,0.8249486652977412,0.47081819220979526,0.8179611650485437
6,0.38571098727772674,0.8819301848049281,0.4595019150891531,0.8349514563106796
7,0.2108203461300486,0.9394250513347022,0.39192188190249955,0.8616504854368932
8,0.1562607181995956,0.9532854209445585,0.3680079560984012,0.9053398058252428
9,0.11601385495820737,0.9691991786447639,0.340635768727578,0.8762135922330098
10,0.08965581376081642,0.9748459958932238,0.5864296023723865,0.8495145631067961
11,0.07779748525893428,0.9804928131416838,0.21128019731092748,0.9320388349514563
12,0.06826590983735036,0.9820328542094456,0.41585785117786145,0.8543689320388349
13,0.0576260870801435,0.9861396303901437,0.33450862166349776,0.8907766990291263
14,0.04574330509910174,0.9871663244353183,0.24758305110204779,0.9344660194174758
15,0.016749071722933242,0.9969199178644764,0.27087411961437596,0.9393203883495146
16,0.036558519413074184,0.9912731006160165,0.4616292721048772,0.9271844660194175
17,0.045329943683272096,0.9881930184804928,0.1065608009367484,0.9660194174757282
18,0.08673446592644146,0.9835728952772074,0.05202258565735338,0.9757281553398058
19,0.03264505292423243,0.9928131416837782,0.15874606297042926,0.9538834951456311
20,0.04668268313207497,0.9892197125256673,0.13978482041170426,0.970873786407767
